:: Logging to C:\Users\shirao\AppData\Local\Temp\UnitypackageTools20191217190050-1o_gyjyg.log
[INFO   ] 2019-12-17 19:00:50,246::root                     | Current-directory: D:\works\programs\python\vemt\vemt-unitypackage-validator
[WARNING] 2019-12-17 19:01:35,774::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is d082e53096d08f441bc71078ece58e73 (Assets/VRCSDK/Dependencies/Oculus/Spatializer/Scripts)
[WARNING] 2019-12-17 19:01:35,778::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is d2244637721b4f3458280ffc1f9dd7cc (Assets/VRCSDK/Dependencies/VRChat/Resources/vrcSdkClDialogNewIcon.png)
[WARNING] 2019-12-17 19:01:35,780::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is d284fa0199aad4142a37ac71797168aa (Assets/VRCSDK/Dependencies/VRChat/Scripts)
[WARNING] 2019-12-17 19:01:35,784::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is d4055bfc0cd67d642a7eceaf547c4901 (Assets/VRCSDK/Dependencies/AWSSDK/AWSSDK.S3.dll)
[WARNING] 2019-12-17 19:01:35,787::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is d4093f0e316444342a370bc3c528892f (Assets/VRCSDK/Examples/Scenes/Example-Prefabs.unity)
[WARNING] 2019-12-17 19:01:35,794::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is da07ab9b78cb0432e95e11e2cb619ea7 (Assets/VRCSDK/Dependencies/VRChat/Materials/BlueprintCam.mat)
[WARNING] 2019-12-17 19:01:35,798::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is dce0dda226bd1f147a34f9b4660f5992 (Assets/VRCSDK/Dependencies/VRChat/Resources/VRCProjectSettings.prefab)
[WARNING] 2019-12-17 19:01:35,801::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is dd5614b710e774040ab715161f7dfaca (Assets/VRCSDK/Dependencies/VRChat/Resources/endpoints.customizations.json)
[WARNING] 2019-12-17 19:01:35,805::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is de9057326f1ed4cd497b362f8812f0da (Assets/VRCSDK/Dependencies/VRChat/Scripts/Deprecated/VRCPipelineManager.cs)
[WARNING] 2019-12-17 19:01:35,808::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is e0970398d42a4d943a7fc0b53faef6ce (Assets/VRCSDK/Dependencies/VRChat/Models/Materials)
[WARNING] 2019-12-17 19:01:35,812::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is e13e96301b7c8214dac6883be5b82bfa (Assets/VRCSDK/Dependencies/VRChat/Models/damageSphere.fbx)
[WARNING] 2019-12-17 19:01:35,816::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is e1c693656bf5d584b87df969efeb5536 (Assets/VRCSDK/Dependencies/VRChat/Scripts/ContentUploadedDialog.cs)
[WARNING] 2019-12-17 19:01:35,819::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is e331ff414ab2e7548ba4a7df0d93ec00 (Assets/VRCSDK/Examples/Scenes/Example-Actions.unity)
[WARNING] 2019-12-17 19:01:35,827::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is e503ea6418d27594caa33b93cac1b06a (Assets/VRCSDK/Dependencies/Oculus/Spatializer/Scripts/ONSPAudioSource.cs)
[WARNING] 2019-12-17 19:01:35,833::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is e561d0406779ab948b7f155498d101ee (Assets/VRCSDK/Dependencies/VRChat/Resources/PerformanceIcons/Perf_Poor_32.png)
[WARNING] 2019-12-17 19:01:35,839::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is e86b1ecf748c17744a6a94f8ee6f50ba (Assets/VRCSDK/Dependencies/SharpZipLib)
[WARNING] 2019-12-17 19:01:35,844::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is e8e780ff40c6a484294bfec8711ced23 (Assets/VRCSDK/Dependencies/VRChat/Resources/VRC_PlayerVisualDamage.prefab)
[WARNING] 2019-12-17 19:01:35,852::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is ec6baab2674b46a439f56392ba882866 (Assets/VRCSDK/Examples/Scenes/Example-PlayerAudioOverride.unity)
[WARNING] 2019-12-17 19:01:35,857::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is ecaca62aaec760a4dbd18ddd39d3d81b (Assets/VRCSDK/Dependencies/DotZLib/Plugins)
[WARNING] 2019-12-17 19:01:35,862::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is f078e90486dd8684784c5e47c473fe95 (Assets/VRCSDK/Dependencies/VRChat/Resources/CL_Icons)
[WARNING] 2019-12-17 19:01:35,867::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is f310c3dbad3125d4e8fc2e00bdc2acb4 (Assets/VRCSDK/Dependencies/VRChat/Resources/CL_Icons/CL_Lab_Icon_256.png)
[WARNING] 2019-12-17 19:01:35,870::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is f3c17e56945504a4eaf427a9ae38ad3a (Assets/VRCSDK/Dependencies/VRChat/Editor)
[WARNING] 2019-12-17 19:01:35,873::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is f4cf5dd705ab67149afaba40b4a8fa7e (Assets/VRCSDK/Dependencies/VRChat/Editor/VRC_SdkSplashScreen.cs)
[WARNING] 2019-12-17 19:01:35,878::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is f78c4655b33cb5741983dc02e08899cf (Assets/VRCSDK/Dependencies/VRChat/VRCSDK2.dll)
[WARNING] 2019-12-17 19:01:35,884::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is fc887d4eeb5a941ed86bca0135b05e2b (Assets/VRCSDK/Dependencies/VRChat/Resources/VRCSDKWorld.prefab)
[WARNING] 2019-12-17 19:01:35,889::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is ff7f4f4963793a340bde459bc9975c07 (Assets/VRCSDK/Dependencies/VRChat/Resources/vrcSdkHeaderWithCommunityLabs.png)
[INFO   ] 2019-12-17 19:01:35,889::FilenameBlacklist        | Validating FilenameBlacklist.
[WARNING] 2019-12-17 19:01:35,892::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 000b6aa8344585d4fb87fb96b8149202 (Assets/MeshBaker/Editor/searchFilters/MB3_GroupByEnabledDisabled.cs)
[WARNING] 2019-12-17 19:01:35,896::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 015ae41bf6cb4428b8257ead79772908 (Assets/UniGLTF/Core/Scripts/IO/AnimationExporter.cs)
[WARNING] 2019-12-17 19:01:35,899::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 0256cc9f46a4e6744826cf5ca0aa1b46 (Assets/UniGLTF/UniJSON/Scripts/JsonSchemaValidator/JsonStringValidator.cs)
[WARNING] 2019-12-17 19:01:35,902::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 0261a8987f41f264187f34e2a66d3960 (Assets/HalbyAssets/RenameBlendShapes.cs)
[WARNING] 2019-12-17 19:01:35,905::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 035d1b5b42714c340a93439644c39417 (Assets/MeshBaker/scripts/core/TextureCombiner/MB3_TextureCombinerPipeline.cs)
[WARNING] 2019-12-17 19:01:35,907::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 03a757cc40f030246aba4d12cf385c71 (Assets/MeshBaker/Examples/SkinnedMeshRenderer/MB_SkinnedMeshSceneController.cs)
[WARNING] 2019-12-17 19:01:35,910::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 0465c9a9a7404f34fadd23fd32de6557 (Assets/Bakery/shader/Editor/BakeryShaderGUI.cs)
[WARNING] 2019-12-17 19:01:35,913::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 04878769c08021a41bc2d2375e23ec0b (Assets/DynamicBone/Scripts/DynamicBoneColliderBase.cs)
